planet_mass,planet_radius,orbital_period,orbital_radius,star_mass,star_radius,star_luminosity
3.11444,1.568,2.35322,0.0338,0.93,0.86,2.780480965328225
6.292440000000001,2.52,3.55987,0.04454,0.93,0.86,3.051950067207827
7.91322,2.6544,5.40478,0.05883,0.93,0.86,2.781653839486139
12.99802,3.2927999999999997,8.26144,0.07807,0.93,0.86,2.8258499346877284
1.5890000000000002,2.8112,12.75759,0.1043,0.93,0.86,2.5340893104346414
4.2903,3.0105599999999995,41.96797,0.231,0.93,0.86,2.520900188680761
121.0818,9.105599999999999,28.380619,0.1796,0.96,0.88,3.0247805291124688
295.55400000000003,12.241599999999998,6.56918,0.0687,1.0,0.99,3.154547976057541
5.771248,2.0496,2.6446,0.027,0.33,0.33,1.0230227974047164
7.493724,2.1839999999999997,4.00498,0.034,0.33,0.33,1.1287420704723905
4.7034400000000005,1.8032,6.342,0.0562,0.65,0.58,1.9881854122980573
6.514900000000001,2.5984,13.85,0.0946,0.65,0.58,1.930486700884186
4.89412,1.904,40.718,0.1937,0.65,0.58,2.034560854213526
9.18442,2.5984,19.562307,0.126,0.7,0.68,2.220988224479285
11.4408,2.3072,8.867209,0.0753,0.72,0.72,1.9938846544894404
20.0214,2.6879999999999997,4.7369683,0.0526,0.88,0.8,2.513043426867789
8.920646000000001,2.3632,32.939623,0.1429,0.36,0.41,1.0202372125194479
6.896260000000001,1.72816,3.2253993,0.0382,0.73,0.68,2.0572403832776454
12.3942,2.84816,7.3744897,0.0662,0.73,0.68,2.0858515950793963
32.38382,7.7391999999999985,7.9194,0.074,0.93,0.86,2.8283821071447672
10.805200000000001,4.860799999999999,11.90715,0.0971,0.93,0.86,2.781364493927969
9.8518,1.1423999999999999,2.50856,0.0344,0.93,0.86,2.7323408026081615
7.999026000000001,1.7471999999999999,2.1748,0.028,0.7,0.72,2.03103411776582
1.9798940000000003,1.8368,9.00315,0.076,0.68,0.65,2.066524221588225
4.960858,2.4863999999999997,15.0,0.107,0.68,0.65,1.678648191927983
7.945,2.3486399999999996,15.3885,0.1211,1.0,1.09,3.3634718926433496
21.292600000000004,2.0271999999999997,8.32727,0.0769,0.87,0.79,2.715176215866281
25.1062,2.64768,31.0,0.182,0.87,0.79,2.883537607417533
126.48440000000001,11.2,11.168454,0.10356,1.19,1.16,3.8250404334199173
3.30512,1.4,2.46746,0.03317,0.8,0.74,2.306144639248223
8.294580000000002,2.6431999999999998,24.3662,0.1527,0.8,0.74,2.2879064133638924
392.80080000000004,18.390399999999996,2.1805577,0.0353,1.23,1.38,4.108061693061447
273.308,14.559999999999999,3.20466,0.046,1.19,1.59,3.9084408849688845
1.3983200000000002,1.0976,5.24,0.0441,0.4,0.36,1.2726644453240814
0.8898400000000001,0.9967999999999999,7.775,0.0576,0.4,0.36,1.0928518766397273
